-1 7 8
4 4 1
-6 19 89
63 -55 -57
-60 -11 -19
-10 -97 10
-19 29 87
6 27 32
-19 -35 -27
17 -94 -74
79 16 -72
-71 24 21
98 -78 92
51 72 66
-50 65 -82
-79 18 -79
-71 -15 97
44 5 -17
83 85 78
21 -64 -92
-16 -45 -74
-32 15 83
-92 -94 34
-49 29 20
25 27 -73
-99 100 -34
-53 -30 25
33 -79 -39
-65 77 36
-45 39 -69
-41 -52 -17
66 83 33
-36 -75 92
-49 56 91
-67 -25 37
55 -12 83
-75 -89 97
27 6 -78
-62 7 -60
92 64 -51
-52 7 96
-29 -83 -53
9 -81 49
-97 19 100
-12 -91 -52
23 74 -43
64 29 30
69 90 96
-27 39 -44
-71 -73 -67
57 -54 60
73 79 61
-87 54 85
-80 -16 -90
-11 18 -11
2 44 -62
69 23 -46
13 12 -56
-89 40 82
-14 39 -79
-18 -72 20
66 -43 -98
61 42 -51
85 -38 -21
-15 -32 85
51 84 -90
-30 -4 -37
51 -57 51
-75 -15 -29
55 -72 -8
-91 57 67
-73 96 -58
-95 -21 88
-3 -9 -11
15 25 21
26 -70 33
-51 1 -99
43 -45 59
-22 -6 -57
-95 65 -51
-98 -55 -3
82 67 73
14 55 30
26 6 -24
86 26 -28
-87 6 -35
-39 -21 60
96 62 64
-44 100 -25
-98 37 39
3 72 -42
72 4 -8
57 43 -44
-98 -81 -54
-72 91 91
17 25 -63
14 71 -8
52 -18 -27
-64 101 22
50 72 26
56 -80 27
71 15 94
-10 -98 -95
74 90 -90
-97 -23 -15
40 -28 -42
-15 -61 14
-59 -4 -65
-81 61 96
-87 -20 -93
-76 -32 -50
-37 32 -94
38 39 14
63 -3 -5
87 55 3
34 -64 19
6 64 -39
45 -1 63
-39 27 63
18 -92 61
-61 47 49
-7 46 30
65 20 100
-68 -8 -42
-12 -69 -53
24 36 -31
54 31 -41
38 33 6
-32 25 -76
97 89 94
-21 -52 -32
11 -82 -16
-36 15 90
57 49 -74
18 -41 -23
93 -78 -11
-42 -87 -50
31 -62 76
42 77 53
-3 -11 23
-97 26 86
22 -90 -31
-67 -31 43
48 12 -57
86 82 15
30 96 27
14 -31 -42
-52 -30 5
34 -98 -97
-93 -68 -94
94 -24 -59
45 61 8
-56 36 -19
-25 -68 -96
-67 30 -57
21 3 1
-29 -51 100
-100 51 59
48 50 96
-98 -50 90
-46 -4 43
-14 -24 -64
-29 71 -71
17 45 -89
-2 85 89
-42 40 -20
-95 30 -23
-1 96 66
-88 -27 -92
96 43 97
68 -4 14
82 20 -79
-55 36 -79
-40 97 -80
-74 62 68
-32 -81 57
89 -40 -25
-37 54 11
86 12 75
-62 78 -67
41 37 -77
70 -75 10
-36 -100 -90
82 29 -27
92 -80 32
-47 101 -88
-1 -69 38
86 -92 -75
-67 44 -80
-4 -75 56
-57 -15 95
-81 -2 26
-99 -40 -57
-86 -15 -33
48 87 14
96 -47 37
42 89 24
13 1 -45
-10 73 92
-14 -8 63
99 -64 51
44 -28 74
